"","region","electores","percent_participacion","votos_emitidos","votos_validos","organizacion_politica","tipo_organizacion_politica","votos","percent_votos","year","vuelta"
"1","AMAZONAS",225853,0.67019,151365,141990,"ALIANZA REGIONAL JUNTOS POR AMAZONAS","ALIANZA ELECTORAL",76084,0.53584,"2010","2"
"2","AMAZONAS",225853,0.67019,151365,141990,"MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS","MOVIMIENTO REGIONAL",65906,0.46416,"2010","2"
"3","AMAZONAS",225853,0.67019,151365,141990,"VOTOS EN BLANCO",NA,1190,NA,"2010","2"
"4","AMAZONAS",225853,0.67019,151365,141990,"VOTOS NULOS",NA,8185,NA,"2010","2"
"5","AYACUCHO",362985,0.70745,256793,233240,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",128964,0.55292,"2010","2"
"6","AYACUCHO",362985,0.70745,256793,233240,"MOVIMIENTO INDEPENDIENTE REGIONAL TODOS CON AYACUCHO","MOVIMIENTO REGIONAL",104276,0.44708,"2010","2"
"7","AYACUCHO",362985,0.70745,256793,233240,"VOTOS EN BLANCO",NA,3480,NA,"2010","2"
"8","AYACUCHO",362985,0.70745,256793,233240,"VOTOS NULOS",NA,20073,NA,"2010","2"
"9","HUANUCO",437387,0.67871,296859,275892,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",139279,0.50483,"2010","2"
"10","HUANUCO",437387,0.67871,296859,275892,"MOVIMIENTO POLITICO HECHOS Y NO PALABRAS","MOVIMIENTO REGIONAL",136613,0.49517,"2010","2"
"11","HUANUCO",437387,0.67871,296859,275892,"VOTOS EN BLANCO",NA,3463,NA,"2010","2"
"12","HUANUCO",437387,0.67871,296859,275892,"VOTOS NULOS",NA,17504,NA,"2010","2"
"13","ICA",510139,0.83543,426187,398798,"FRENTE REGIONAL PROGRESISTA IQUEÑO","MOVIMIENTO REGIONAL",201751,0.5059,"2010","2"
"14","ICA",510139,0.83543,426187,398798,"FUERZA 2011","PARTIDO POLÍTICO",197047,0.4941,"2010","2"
"15","ICA",510139,0.83543,426187,398798,"VOTOS EN BLANCO",NA,4575,NA,"2010","2"
"16","ICA",510139,0.83543,426187,398798,"VOTOS NULOS",NA,22814,NA,"2010","2"
"17","LAMBAYEQUE",771685,0.79295,611907,562135,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",399578,0.71082,"2010","2"
"18","LAMBAYEQUE",771685,0.79295,611907,562135,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",162557,0.28918,"2010","2"
"19","LAMBAYEQUE",771685,0.79295,611907,562135,"VOTOS EN BLANCO",NA,5756,NA,"2010","2"
"20","LAMBAYEQUE",771685,0.79295,611907,562135,"VOTOS NULOS",NA,44016,NA,"2010","2"
"21","LIMA",609332,0.7938,483688,451960,"PATRIA JOVEN","MOVIMIENTO REGIONAL",239948,0.53091,"2010","2"
"22","LIMA",609332,0.7938,483688,451960,"CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA","MOVIMIENTO REGIONAL",212012,0.46909,"2010","2"
"23","LIMA",609332,0.7938,483688,451960,"VOTOS EN BLANCO",NA,4679,NA,"2010","2"
"24","LIMA",609332,0.7938,483688,451960,"VOTOS NULOS",NA,27049,NA,"2010","2"
"25","MADRE DE DIOS",69555,0.76068,52909,49638,"BLOQUE POPULAR MADRE DE DIOS","MOVIMIENTO REGIONAL",27149,0.54694,"2010","2"
"26","MADRE DE DIOS",69555,0.76068,52909,49638,"MOVIMIENTO INDEPENDIENTE AMOR POR MADRE DE DIOS","MOVIMIENTO REGIONAL",22489,0.45306,"2010","2"
"27","MADRE DE DIOS",69555,0.76068,52909,49638,"VOTOS EN BLANCO",NA,523,NA,"2010","2"
"28","MADRE DE DIOS",69555,0.76068,52909,49638,"VOTOS NULOS",NA,2748,NA,"2010","2"
"29","PASCO",164147,0.71245,116947,108264,"ALIANZA REGIONAL TODOS POR PASCO","ALIANZA ELECTORAL",64041,0.59153,"2010","2"
"30","PASCO",164147,0.71245,116947,108264,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",44223,0.40847,"2010","2"
"31","PASCO",164147,0.71245,116947,108264,"VOTOS EN BLANCO",NA,1110,NA,"2010","2"
"32","PASCO",164147,0.71245,116947,108264,"VOTOS NULOS",NA,7573,NA,"2010","2"
"33","PUNO",772075,0.8019,619124,542930,"PROYECTO POLITICO AQUI","MOVIMIENTO REGIONAL",286600,0.52788,"2010","2"
"34","PUNO",772075,0.8019,619124,542930,"REFORMA REGIONAL ANDINA INTEGRACION, PARTICIPACION ECONOMICA Y SOCIAL PUNO","MOVIMIENTO REGIONAL",256330,0.47212,"2010","2"
"35","PUNO",772075,0.8019,619124,542930,"VOTOS EN BLANCO",NA,7463,NA,"2010","2"
"36","PUNO",772075,0.8019,619124,542930,"VOTOS NULOS",NA,68731,NA,"2010","2"
"37","TUMBES",135663,0.81801,110974,100129,"LUCHEMOS POR TUMBES","MOVIMIENTO REGIONAL",52515,0.52447,"2010","2"
"38","TUMBES",135663,0.81801,110974,100129,"MOVIMIENTO INDEPENDIENTE REGIONAL FAENA","MOVIMIENTO REGIONAL",47614,0.47553,"2010","2"
"39","TUMBES",135663,0.81801,110974,100129,"VOTOS EN BLANCO",NA,1209,NA,"2010","2"
"40","TUMBES",135663,0.81801,110974,100129,"VOTOS NULOS",NA,9636,NA,"2010","2"
"41","AMAZONAS",225853,0.81267,183543,150634,"ALIANZA REGIONAL JUNTOS POR AMAZONAS","ALIANZA ELECTORAL",41910,0.27822,"2010","1"
